year,sector,state,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
2022,All,India,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,All,India,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,All,India,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,All,India,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,All,India,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,All,India,99,0.42,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,National
2022,rural,India,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,rural,India,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,rural,India,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,rural,India,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,rural,India,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,rural,India,99,0.46,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,National
2022,urban,India,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,urban,India,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,urban,India,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,urban,India,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,urban,India,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,National
2022,urban,India,99,0.32,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,National
2022,All,Andaman & Nicobar Islands,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andaman & Nicobar Islands,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andaman & Nicobar Islands,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andaman & Nicobar Islands,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andaman & Nicobar Islands,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andaman & Nicobar Islands,99,0.69,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Andaman & Nicobar Islands,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andaman & Nicobar Islands,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andaman & Nicobar Islands,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andaman & Nicobar Islands,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andaman & Nicobar Islands,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andaman & Nicobar Islands,99,0.80,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Andaman & Nicobar Islands,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andaman & Nicobar Islands,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andaman & Nicobar Islands,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andaman & Nicobar Islands,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andaman & Nicobar Islands,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andaman & Nicobar Islands,99,0.52,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Andhra Pradesh,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andhra Pradesh,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andhra Pradesh,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andhra Pradesh,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andhra Pradesh,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Andhra Pradesh,99,0.81,0.00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Andhra Pradesh,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andhra Pradesh,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andhra Pradesh,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andhra Pradesh,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andhra Pradesh,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Andhra Pradesh,99,0.87,0.00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Andhra Pradesh,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andhra Pradesh,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andhra Pradesh,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andhra Pradesh,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andhra Pradesh,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Andhra Pradesh,99,0.69,0.00,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Arunachal Pradesh,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,All,Arunachal Pradesh,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Arunachal Pradesh,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Arunachal Pradesh,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Arunachal Pradesh,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Arunachal Pradesh,99,0.54,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Arunachal Pradesh,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,rural,Arunachal Pradesh,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Arunachal Pradesh,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Arunachal Pradesh,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Arunachal Pradesh,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Arunachal Pradesh,99,0.58,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Arunachal Pradesh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Arunachal Pradesh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Arunachal Pradesh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Arunachal Pradesh,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Arunachal Pradesh,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Arunachal Pradesh,99,0.37,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Assam,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,All,Assam,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,All,Assam,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,All,Assam,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,All,Assam,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Assam,99,0.06,0.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,All,State
2022,rural,Assam,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,rural,Assam,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,rural,Assam,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,rural,Assam,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,rural,Assam,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Assam,99,0.06,0.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,All,State
2022,urban,Assam,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Assam,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Assam,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Assam,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Assam,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Assam,99,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Bihar,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Bihar,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Bihar,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Bihar,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Bihar,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Bihar,99,0.43,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Bihar,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Bihar,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Bihar,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Bihar,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Bihar,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Bihar,99,0.44,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Bihar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Bihar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Bihar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Bihar,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Bihar,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Bihar,99,0.30,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Chandigarh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chandigarh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chandigarh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chandigarh,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chandigarh,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chandigarh,99,0.01,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Chandigarh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chandigarh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chandigarh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chandigarh,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chandigarh,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chandigarh,99,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Chandigarh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chandigarh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chandigarh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chandigarh,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chandigarh,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chandigarh,99,0.01,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Chattisgarh,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chattisgarh,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chattisgarh,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chattisgarh,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chattisgarh,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Chattisgarh,99,0.89,0.07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Chattisgarh,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chattisgarh,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chattisgarh,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chattisgarh,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chattisgarh,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Chattisgarh,99,0.92,0.08,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Chattisgarh,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chattisgarh,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chattisgarh,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chattisgarh,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chattisgarh,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Chattisgarh,99,0.74,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Dadra Nagar Haveli & Diu Daman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Dadra Nagar Haveli & Diu Daman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Dadra Nagar Haveli & Diu Daman,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Dadra Nagar Haveli & Diu Daman,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Dadra Nagar Haveli & Diu Daman,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Dadra Nagar Haveli & Diu Daman,99,0.19,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Dadra Nagar Haveli & Diu Daman,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,rural,Dadra Nagar Haveli & Diu Daman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Dadra Nagar Haveli & Diu Daman,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Dadra Nagar Haveli & Diu Daman,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Dadra Nagar Haveli & Diu Daman,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Dadra Nagar Haveli & Diu Daman,99,0.36,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Dadra Nagar Haveli & Diu Daman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Dadra Nagar Haveli & Diu Daman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Dadra Nagar Haveli & Diu Daman,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Dadra Nagar Haveli & Diu Daman,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Dadra Nagar Haveli & Diu Daman,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Dadra Nagar Haveli & Diu Daman,99,0.07,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Delhi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Delhi,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Delhi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Delhi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Delhi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Delhi,99,0.07,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Delhi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Delhi,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Delhi,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Delhi,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Delhi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Delhi,99,0.06,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Delhi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Delhi,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Delhi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Delhi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Delhi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Delhi,99,0.07,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Goa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Goa,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Goa,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Goa,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Goa,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Goa,99,0.62,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Goa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Goa,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Goa,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Goa,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Goa,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Goa,99,0.74,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Goa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Goa,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Goa,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Goa,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Goa,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Goa,99,0.53,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,All,Gujarat,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,All,Gujarat,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Gujarat,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Gujarat,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Gujarat,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,All,Gujarat,99,0.49,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,rural,Gujarat,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,rural,Gujarat,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,rural,Gujarat,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Gujarat,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Gujarat,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,rural,Gujarat,99,0.66,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
2022,urban,Gujarat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Gujarat,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Gujarat,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Gujarat,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Gujarat,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,urban,Gujarat,99,0.23,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,State
